Java HotSpot(TM) 64-Bit Server VM (25.251-b08) for linux-amd64 JRE (1.8.0_251-b08), built on Mar 11 2020 23:20:16 by "java_re" with gcc 7.3.0
Memory: 4k page, physical 16181420k(1807556k free), swap 2097148k(2097148k free)
CommandLine flags: -XX:InitialHeapSize=4294967296 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2020-09-22T13:48:09.347+0530: 259.079: [GC (Allocation Failure) [PSYoungGen: 1048576K->14588K(1223168K)] 1048576K->14660K(4019712K), 0.0204770 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2020-09-22T13:49:03.962+0530: 313.694: [GC (Allocation Failure) [PSYoungGen: 1063164K->8880K(1223168K)] 1063236K->8960K(4019712K), 0.0153422 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-09-22T13:50:00.513+0530: 370.244: [GC (Allocation Failure) [PSYoungGen: 1057456K->8864K(1223168K)] 1057536K->8952K(4019712K), 0.0158763 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2020-09-22T13:50:57.320+0530: 427.051: [GC (Allocation Failure) [PSYoungGen: 1057440K->8864K(1223168K)] 1057528K->8960K(4019712K), 0.0273267 secs] [Times: user=0.07 sys=0.00, real=0.03 secs] 
2020-09-22T13:51:57.301+0530: 487.033: [GC (Allocation Failure) [PSYoungGen: 1057440K->8960K(1223168K)] 1057536K->9056K(4019712K), 0.0162212 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2020-09-22T13:52:55.724+0530: 545.456: [GC (Allocation Failure) [PSYoungGen: 1057536K->8896K(1383424K)] 1057632K->8992K(4179968K), 0.0181573 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2020-09-22T13:54:15.340+0530: 625.072: [GC (Allocation Failure) [PSYoungGen: 1377472K->128K(1369088K)] 1377568K->9419K(4165632K), 0.0251547 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2020-09-22T13:55:32.783+0530: 702.515: [GC (Allocation Failure) [PSYoungGen: 1368704K->32K(1380864K)] 1377995K->9355K(4177408K), 0.0040168 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
